run	year	tschg	area
1	0	50	787400
1	0	NA	1590300
1	1	1	3200
1	1	51	785500
1	1	NA	1589000
1	2	1	4200
1	2	2	3200
1	2	52	783800
1	2	NA	1586500
1	3	1	400
1	3	2	4100
1	3	3	3200
1	3	53	783700
1	3	NA	1586300
1	4	1	12700
1	4	2	400
1	4	3	4100
1	4	4	3200
1	4	54	778800
1	4	NA	1578500
1	5	1	6500
1	5	2	12700
1	5	3	400
1	5	4	4100
1	5	5	3100
1	5	55	776100
1	5	NA	1574800
1	6	1	2400
1	6	2	6500
1	6	3	12700
1	6	4	400
1	6	5	4100
1	6	6	3100
1	6	56	775200
1	6	NA	1573300
1	7	1	5600
1	7	2	2300
1	7	3	6500
1	7	4	12700
1	7	5	400
1	7	6	4100
1	7	7	3000
1	7	57	773200
1	7	NA	1569900
1	8	1	14400
1	8	2	5600
1	8	3	2300
1	8	4	6500
1	8	5	12700
1	8	6	400
1	8	7	4100
1	8	8	3000
1	8	58	767700
1	8	NA	1561000
1	9	1	1100
1	9	2	14400
1	9	3	5600
1	9	4	2300
1	9	5	6500
1	9	6	12700
1	9	7	400
1	9	8	4100
1	9	9	3000
1	9	59	767300
1	9	NA	1560300
1	10	1	10800
1	10	2	1100
1	10	3	14400
1	10	4	5600
1	10	5	2200
1	10	6	6400
1	10	7	12700
1	10	8	400
1	10	9	4100
1	10	10	3000
1	10	60	762200
1	10	NA	1554800
1	11	1	1900
1	11	2	10800
1	11	3	1100
1	11	4	14300
1	11	5	5600
1	11	6	2200
1	11	7	6300
1	11	8	12700
1	11	9	400
1	11	10	4100
1	11	11	3000
1	11	61	761200
1	11	NA	1554100
1	12	1	8500
1	12	2	1900
1	12	3	10700
1	12	4	1100
1	12	5	14300
1	12	6	5600
1	12	7	2200
1	12	8	6300
1	12	9	12700
1	12	10	400
1	12	11	4100
1	12	12	3000
1	12	62	758300
1	12	NA	1548600
1	13	1	4900
1	13	2	8500
1	13	3	1900
1	13	4	10600
1	13	5	1100
1	13	6	14300
1	13	7	5600
1	13	8	2200
1	13	9	6300
1	13	10	12700
1	13	11	300
1	13	12	4100
1	13	13	3000
1	13	63	756700
1	13	NA	1545500
1	14	1	5500
1	14	2	4900
1	14	3	8300
1	14	4	1900
1	14	5	10500
1	14	6	1100
1	14	7	14100
1	14	8	5600
1	14	9	2200
1	14	10	6200
1	14	11	12700
1	14	12	300
1	14	13	4100
1	14	14	3000
1	14	64	754700
1	14	NA	1542600
1	15	1	14500
1	15	2	5300
1	15	3	4800
1	15	4	8200
1	15	5	1900
1	15	6	10300
1	15	7	1100
1	15	8	14100
1	15	9	5600
1	15	10	2100
1	15	11	6100
1	15	12	12700
1	15	13	300
1	15	14	4000
1	15	15	3000
1	15	65	747400
1	15	NA	1536300
1	16	1	1700
1	16	2	14500
1	16	3	5300
1	16	4	4800
1	16	5	8200
1	16	6	1900
1	16	7	10300
1	16	8	1100
1	16	9	14100
1	16	10	5600
1	16	11	2100
1	16	12	6100
1	16	13	12700
1	16	14	300
1	16	15	4000
1	16	16	3000
1	16	66	746800
1	16	NA	1535200
1	17	1	4600
1	17	2	1700
1	17	3	14500
1	17	4	5300
1	17	5	4800
1	17	6	8200
1	17	7	1900
1	17	8	10300
1	17	9	1100
1	17	10	14100
1	17	11	5500
1	17	12	2100
1	17	13	6100
1	17	14	12700
1	17	15	300
1	17	16	4000
1	17	17	3000
1	17	67	744700
1	17	NA	1532800
1	18	1	5300
1	18	2	4600
1	18	3	1700
1	18	4	14500
1	18	5	5300
1	18	6	4800
1	18	7	8200
1	18	8	1900
1	18	9	10300
1	18	10	1100
1	18	11	14100
1	18	12	5500
1	18	13	2100
1	18	14	6100
1	18	15	12600
1	18	16	300
1	18	17	4000
1	18	18	3000
1	18	68	742200
1	18	NA	1530100
1	19	1	4900
1	19	2	5300
1	19	3	4600
1	19	4	1700
1	19	5	14500
1	19	6	5300
1	19	7	4700
1	19	8	8200
1	19	9	1900
1	19	10	10200
1	19	11	1100
1	19	12	14100
1	19	13	5500
1	19	14	2100
1	19	15	6000
1	19	16	12600
1	19	17	300
1	19	18	4000
1	19	19	3000
1	19	69	740000
1	19	NA	1527700
1	20	1	900
1	20	2	4900
1	20	3	5300
1	20	4	4600
1	20	5	1700
1	20	6	14500
1	20	7	5300
1	20	8	4700
1	20	9	8200
1	20	10	1900
1	20	11	10200
1	20	12	1100
1	20	13	14100
1	20	14	5400
1	20	15	2100
1	20	16	6000
1	20	17	12600
1	20	18	300
1	20	19	4000
1	20	20	3000
1	20	70	739500
1	20	NA	1527400
2	0	50	787400
2	0	NA	1590300
2	1	1	1700
2	1	51	786700
2	1	NA	1589300
2	2	1	7500
2	2	2	1700
2	2	52	782000
2	2	NA	1586500
2	3	1	3600
2	3	2	7500
2	3	3	1700
2	3	53	780500
2	3	NA	1584400
2	4	1	3800
2	4	2	3600
2	4	3	7500
2	4	4	1700
2	4	54	779200
2	4	NA	1581900
2	5	1	4500
2	5	2	3800
2	5	3	3600
2	5	4	7500
2	5	5	1600
2	5	55	777300
2	5	NA	1579400
2	6	1	3700
2	6	2	4500
2	6	3	3700
2	6	4	3600
2	6	5	7500
2	6	6	1600
2	6	56	775500
2	6	NA	1577600
2	7	1	2300
2	7	2	3700
2	7	3	4500
2	7	4	3700
2	7	5	3600
2	7	6	7500
2	7	7	1600
2	7	57	774900
2	7	NA	1575900
2	8	1	3000
2	8	2	2300
2	8	3	3700
2	8	4	4500
2	8	5	3700
2	8	6	3600
2	8	7	7500
2	8	8	1600
2	8	58	773800
2	8	NA	1574000
2	9	1	8300
2	9	2	3000
2	9	3	2300
2	9	4	3700
2	9	5	4500
2	9	6	3600
2	9	7	3600
2	9	8	7500
2	9	9	1600
2	9	59	770400
2	9	NA	1569200
2	10	1	1900
2	10	2	8300
2	10	3	3000
2	10	4	2300
2	10	5	3700
2	10	6	4500
2	10	7	3600
2	10	8	3600
2	10	9	7500
2	10	10	1600
2	10	60	769300
2	10	NA	1568400
2	11	1	11900
2	11	2	1900
2	11	3	8100
2	11	4	2900
2	11	5	2300
2	11	6	3700
2	11	7	4500
2	11	8	3600
2	11	9	3600
2	11	10	7400
2	11	11	1600
