run	year	tschg	area
2	8	58	719900
2	8	NA	1562100
2	9	1	2700
2	9	2	36800
2	9	3	10100
2	9	4	7200
2	9	5	5400
2	9	6	10600
2	9	7	10200
2	9	8	7100
2	9	9	7900
2	9	59	718100
2	9	NA	1561600
2	10	1	4500
2	10	2	2700
2	10	3	36400
2	10	4	10100
2	10	5	7200
2	10	6	5400
2	10	7	10600
2	10	8	10200
2	10	9	7100
2	10	10	7900
2	10	60	715500
2	10	NA	1560100
2	11	1	9200
2	11	2	4500
2	11	3	2700
2	11	4	35900
2	11	5	10100
2	11	6	7000
2	11	7	5400
2	11	8	10600
2	11	9	10100
2	11	10	7000
2	11	11	7800
2	11	61	710000
2	11	NA	1557400
2	12	1	18500
2	12	2	9000
2	12	3	4500
2	12	4	2700
2	12	5	34600
2	12	6	9600
2	12	7	7000
2	12	8	5400
2	12	9	10500
2	12	10	9900
2	12	11	7000
2	12	12	7500
2	12	62	700100
2	12	NA	1551400
2	13	1	2600
2	13	2	18500
2	13	3	9000
2	13	4	4500
2	13	5	2700
2	13	6	34600
2	13	7	9600
2	13	8	6900
2	13	9	5400
2	13	10	10400
2	13	11	9800
2	13	12	7000
2	13	13	7500
2	13	63	698700
2	13	NA	1550500
2	14	1	4000
2	14	2	2600
2	14	3	18400
2	14	4	9000
2	14	5	4500
2	14	6	2700
2	14	7	34100
2	14	8	9600
2	14	9	6900
2	14	10	5400
2	14	11	10400
2	14	12	9700
2	14	13	7000
2	14	14	7500
2	14	64	696100
2	14	NA	1549800
2	15	1	13700
2	15	2	3600
2	15	3	2600
2	15	4	18000
2	15	5	8900
2	15	6	4400
2	15	7	2500
2	15	8	34000
2	15	9	9300
2	15	10	6900
2	15	11	5400
2	15	12	10400
2	15	13	9600
2	15	14	6900
2	15	15	7100
2	15	65	688400
2	15	NA	1546000
2	16	1	36100
2	16	2	12800
2	16	3	3600
2	16	4	2600
2	16	5	17200
2	16	6	8500
2	16	7	3700
2	16	8	2200
2	16	9	31200
2	16	10	8900
2	16	11	6800
2	16	12	5400
2	16	13	10200
2	16	14	9400
2	16	15	6900
2	16	16	6900
2	16	66	669400
2	16	NA	1535900
2	17	1	15800
2	17	2	35400
2	17	3	11900
2	17	4	3600
2	17	5	2600
2	17	6	16900
2	17	7	8500
2	17	8	3700
2	17	9	2100
2	17	10	30600
2	17	11	8700
2	17	12	6800
2	17	13	5400
2	17	14	10100
2	17	15	9100
2	17	16	6900
2	17	17	6700
2	17	67	660800
2	17	NA	1532100
2	18	1	6200
2	18	2	15500
2	18	3	35400
2	18	4	11900
2	18	5	3600
2	18	6	2500
2	18	7	16900
2	18	8	8500
2	18	9	3700
2	18	10	2000
2	18	11	30500
2	18	12	8600
2	18	13	6800
2	18	14	5400
2	18	15	10100
2	18	16	9100
2	18	17	6900
2	18	18	6700
2	18	68	658100
2	18	NA	1529300
2	19	1	12300
2	19	2	6200
2	19	3	15400
2	19	4	35000
2	19	5	11900
2	19	6	3600
2	19	7	2500
2	19	8	16400
2	19	9	8200
2	19	10	3700
2	19	11	1900
2	19	12	30200
2	19	13	8300
2	19	14	6800
2	19	15	5400
2	19	16	9700
2	19	17	9000
2	19	18	6900
2	19	19	6500
2	19	69	651100
2	19	NA	1526700
2	20	1	17000
2	20	2	12200
2	20	3	6200
2	20	4	15200
2	20	5	34100
2	20	6	11400
2	20	7	3500
2	20	8	2500
2	20	9	15800
2	20	10	8000
2	20	11	3000
2	20	12	1900
2	20	13	29000
2	20	14	7900
2	20	15	6700
2	20	16	5400
2	20	17	9100
2	20	18	8800
2	20	19	6900
2	20	20	6400
2	20	70	643100
2	20	NA	1523600
3	0	50	787400
3	0	NA	1590300
3	1	1	3400
3	1	51	785100
3	1	NA	1589200
3	2	1	11500
3	2	2	3400
3	2	52	777100
3	2	NA	1585700
3	3	1	13500
3	3	2	11300
3	3	3	3400
3	3	53	768400
3	3	NA	1581100
3	4	1	22500
3	4	2	13300
3	4	3	11100
3	4	4	3400
3	4	54	752900
3	4	NA	1574500
3	5	1	3900
3	5	2	22400
3	5	3	13300
3	5	4	11100
3	5	5	3400
3	5	55	749500
3	5	NA	1574100
3	6	1	51800
3	6	2	3800
3	6	3	22100
3	6	4	12500
3	6	5	10600
3	6	6	3300
3	6	56	711900
3	6	NA	1561700
3	7	1	29900
3	7	2	49000
3	7	3	3800
3	7	4	22100
3	7	5	12000
3	7	6	10300
3	7	7	3200
3	7	57	694400
3	7	NA	1553000
3	8	1	18300
3	8	2	28700
3	8	3	46600
3	8	4	3800
3	8	5	22000
3	8	6	11800
3	8	7	10000
3	8	8	3200
3	8	58	683800
3	8	NA	1549500
3	9	1	4800
3	9	2	17900
3	9	3	28700
3	9	4	46200
3	9	5	3800
3	9	6	21900
3	9	7	11700
3	9	8	10000
3	9	9	3200
3	9	59	681000
3	9	NA	1548500
3	10	1	4100
3	10	2	4800
3	10	3	17900
3	10	4	28500
3	10	5	46100
3	10	6	3800
3	10	7	21800
3	10	8	11400
3	10	9	10000
3	10	10	3200
3	10	60	678800
3	10	NA	1547300
3	11	1	1200
3	11	2	3800
3	11	3	4800
3	11	4	17900
3	11	5	28500
3	11	6	46100
3	11	7	3800
3	11	8	21700
3	11	9	11400
3	11	10	10000
3	11	11	3200
3	11	61	678300
3	11	NA	1547000
3	12	1	6500
3	12	2	1200
3	12	3	3800
3	12	4	4800
3	12	5	17900
3	12	6	28400
3	12	7	46000
3	12	8	3800
3	12	9	21700
3	12	10	11400
3	12	11	9900
3	12	12	3200
3	12	62	675000
3	12	NA	1544100
3	13	1	42900
3	13	2	6300
3	13	3	1200
3	13	4	3700
3	13	5	4800
3	13	6	16300
3	13	7	26300
3	13	8	42300
3	13	9	3400
3	13	10	21600
3	13	11	10600
3	13	12	9300
3	13	13	3000
3	13	63	652500
3	13	NA	1533500
3	14	1	5400
3	14	2	42300
3	14	3	6100
3	14	4	1200
3	14	5	3700
3	14	6	4800
3	14	7	16200
3	14	8	26000
3	14	9	42300
3	14	10	3400
3	14	11	21400
3	14	12	10600
3	14	13	9300
3	14	14	3000
3	14	64	650100
3	14	NA	1531900
3	15	1	6600
3	15	2	5300
3	15	3	42200
3	15	4	5800
3	15	5	1100
3	15	6	3600
3	15	7	4800
3	15	8	16100
3	15	9	25800
3	15	10	42000
3	15	11	3400
3	15	12	21300
3	15	13	10500
3	15	14	9300
3	15	15	2900
3	15	65	646600
3	15	NA	1530400
3	16	1	7400
3	16	2	6600
3	16	3	5300
3	16	4	42100
3	16	5	5700
3	16	6	1100
3	16	7	3600
3	16	8	4600
3	16	9	16100
3	16	10	25800
3	16	11	42000
3	16	12	3400
3	16	13	21100
3	16	14	10400
3	16	15	9200
3	16	16	2900
3	16	66	643600
3	16	NA	1526800
3	17	1	10800
3	17	2	7400
3	17	3	6600
3	17	4	5300
3	17	5	41600
3	17	6	5700
3	17	7	1100
3	17	8	3600
3	17	9	4600
3	17	10	16000
3	17	11	25700
3	17	12	41500
3	17	13	3200
3	17	14	21000
3	17	15	10000
3	17	16	9000
3	17	17	2900
3	17	67	639100
3	17	NA	1522600
3	18	1	3400
3	18	2	10800
3	18	3	7400
3	18	4	6600
3	18	5	5200
3	18	6	41600
3	18	7	5700
3	18	8	1100
3	18	9	3600
3	18	10	4600
3	18	11	16000
