run	year	tschg	area
2	9	1	5900
2	9	2	39600
2	9	3	24200
2	9	4	3500
2	9	5	3000
2	9	6	15300
2	9	7	9000
2	9	8	4400
2	9	9	11600
2	9	59	449000
2	9	NA	489900
2	10	1	3400
2	10	2	5900
2	10	3	39000
2	10	4	24200
2	10	5	3500
2	10	6	3000
2	10	7	15300
2	10	8	8800
2	10	9	4400
2	10	10	11500
2	10	60	447300
2	10	NA	489100
2	11	1	10400
2	11	2	3400
2	11	3	5900
2	11	4	38400
2	11	5	24100
2	11	6	3400
2	11	7	3000
2	11	8	14500
2	11	9	8600
2	11	10	4400
2	11	11	11500
2	11	61	439600
2	11	NA	488200
2	12	1	23800
2	12	2	10000
2	12	3	3300
2	12	4	5800
2	12	5	35300
2	12	6	23100
2	12	7	3300
2	12	8	3000
2	12	9	14100
2	12	10	8600
2	12	11	4400
2	12	12	10700
2	12	62	426900
2	12	NA	483100
2	13	1	4400
2	13	2	23800
2	13	3	9900
2	13	4	3200
2	13	5	5800
2	13	6	35300
2	13	7	23000
2	13	8	3300
2	13	9	3000
2	13	10	14000
2	13	11	8400
2	13	12	4400
2	13	13	10700
2	13	63	423600
2	13	NA	482600
2	14	1	3500
2	14	2	4300
2	14	3	23400
2	14	4	9900
2	14	5	3200
2	14	6	5800
2	14	7	35100
2	14	8	23000
2	14	9	3300
2	14	10	3000
2	14	11	14000
2	14	12	8400
2	14	13	4400
2	14	14	10700
2	14	64	421600
2	14	NA	481800
2	15	1	10200
2	15	2	3400
2	15	3	4300
2	15	4	23200
2	15	5	9600
2	15	6	3000
2	15	7	5700
2	15	8	34400
2	15	9	22400
2	15	10	3300
2	15	11	3000
2	15	12	13900
2	15	13	8100
2	15	14	4400
2	15	15	10400
2	15	65	417300
2	15	NA	478800
2	16	1	41200
2	16	2	9400
2	16	3	3200
2	16	4	4200
2	16	5	21000
2	16	6	8500
2	16	7	2700
2	16	8	5400
2	16	9	31300
2	16	10	20500
2	16	11	3300
2	16	12	2900
2	16	13	13600
2	16	14	7600
2	16	15	4200
2	16	16	9800
2	16	66	395800
2	16	NA	470800
2	17	1	20500
2	17	2	39600
2	17	3	8900
2	17	4	3100
2	17	5	4100
2	17	6	20300
2	17	7	8300
2	17	8	2700
2	17	9	5000
2	17	10	29500
2	17	11	18800
2	17	12	3300
2	17	13	2800
2	17	14	12800
2	17	15	7600
2	17	16	4200
2	17	17	9700
2	17	67	385500
2	17	NA	468700
2	18	1	4900
2	18	2	20500
2	18	3	39600
2	18	4	8900
2	18	5	3100
2	18	6	4100
2	18	7	20200
2	18	8	8300
2	18	9	2700
2	18	10	5000
2	18	11	29500
2	18	12	18700
2	18	13	3100
2	18	14	2800
2	18	15	12600
2	18	16	7600
2	18	17	4200
2	18	18	9500
2	18	68	383400
2	18	NA	466700
2	19	1	17600
2	19	2	4800
2	19	3	20200
2	19	4	37700
2	19	5	8800
2	19	6	3000
2	19	7	3900
2	19	8	19900
2	19	9	8100
2	19	10	2600
2	19	11	4900
2	19	12	28900
2	19	13	18400
2	19	14	3100
2	19	15	2800
2	19	16	12500
2	19	17	7500
2	19	18	4200
2	19	19	9500
2	19	69	371900
2	19	NA	465100
2	20	1	12400
2	20	2	17300
2	20	3	4800
2	20	4	20100
2	20	5	36900
2	20	6	8200
2	20	7	2900
2	20	8	3900
2	20	9	19100
2	20	10	8100
2	20	11	2500
2	20	12	4900
2	20	13	28200
2	20	14	17800
2	20	15	3100
2	20	16	2800
2	20	17	12200
2	20	18	7400
2	20	19	4200
2	20	20	9300
2	20	70	367300
2	20	NA	462000
3	0	50	538300
3	0	NA	517100
3	1	1	3400
3	1	51	536200
3	1	NA	515800
3	2	1	8900
3	2	2	3300
3	2	52	529500
3	2	NA	513700
3	3	1	20100
3	3	2	8100
3	3	3	3100
3	3	53	514700
3	3	NA	509400
3	4	1	7200
3	4	2	19800
3	4	3	8100
3	4	4	3100
3	4	54	509700
3	4	NA	507500
3	5	1	2700
3	5	2	7100
3	5	3	19600
3	5	4	8100
3	5	5	3000
3	5	55	507900
3	5	NA	507000
3	6	1	55800
3	6	2	2700
3	6	3	6700
3	6	4	18700
3	6	5	7400
3	6	6	2700
3	6	56	467900
3	6	NA	493500
3	7	1	28900
3	7	2	53100
3	7	3	2700
3	7	4	6700
3	7	5	17900
3	7	6	7000
3	7	7	2700
3	7	57	449500
3	7	NA	486900
3	8	1	17600
3	8	2	27700
3	8	3	51200
3	8	4	2500
3	8	5	6700
3	8	6	17600
3	8	7	6900
3	8	8	2700
3	8	58	439600
3	8	NA	482900
3	9	1	4900
3	9	2	16800
3	9	3	27600
3	9	4	51100
3	9	5	2500
3	9	6	6700
3	9	7	17600
3	9	8	6900
3	9	9	2700
3	9	59	436700
3	9	NA	481900
3	10	1	4900
3	10	2	4900
3	10	3	16500
3	10	4	27100
3	10	5	50800
3	10	6	2500
3	10	7	6700
3	10	8	17200
3	10	9	6800
3	10	10	2700
3	10	60	434200
3	10	NA	481100
3	11	1	3000
3	11	2	4800
3	11	3	4900
3	11	4	16500
3	11	5	27100
3	11	6	50500
3	11	7	2500
3	11	8	6700
3	11	9	17200
3	11	10	6800
3	11	11	2700
3	11	61	432100
3	11	NA	480600
3	12	1	8500
3	12	2	2900
3	12	3	4800
3	12	4	4900
3	12	5	16500
3	12	6	26900
3	12	7	50200
3	12	8	2500
3	12	9	6600
3	12	10	17100
3	12	11	6600
3	12	12	2700
3	12	62	427700
3	12	NA	477500
3	13	1	42700
3	13	2	8300
3	13	3	2900
3	13	4	4300
3	13	5	4900
3	13	6	15200
3	13	7	23500
3	13	8	45600
3	13	9	2200
3	13	10	6600
3	13	11	16300
3	13	12	6300
3	13	13	2700
3	13	63	405500
3	13	NA	468400
3	14	1	2800
3	14	2	42500
3	14	3	8300
3	14	4	2900
3	14	5	4300
3	14	6	4900
3	14	7	15200
3	14	8	23400
