run	year	tschg	area
1	0	50	787400
1	0	NA	1590300
1	1	1	3100
1	1	51	785500
1	1	NA	1589100
1	2	1	7700
1	2	2	3100
1	2	52	780600
1	2	NA	1586300
1	3	1	29000
1	3	2	7700
1	3	3	3000
1	3	53	761700
1	3	NA	1576300
1	4	1	6500
1	4	2	28900
1	4	3	7700
1	4	4	3000
1	4	54	757800
1	4	NA	1573800
1	5	1	9100
1	5	2	6400
1	5	3	28400
1	5	4	7700
1	5	5	3000
1	5	55	752000
1	5	NA	1571100
1	6	1	14500
1	6	2	9100
1	6	3	6400
1	6	4	28400
1	6	5	7700
1	6	6	3000
1	6	56	742500
1	6	NA	1566100
1	7	1	3600
1	7	2	14500
1	7	3	9100
1	7	4	6400
1	7	5	28300
1	7	6	7700
1	7	7	3000
1	7	57	740600
1	7	NA	1564500
1	8	1	14000
1	8	2	3500
1	8	3	14200
1	8	4	9000
1	8	5	6400
1	8	6	28100
1	8	7	7700
1	8	8	3000
1	8	58	732800
1	8	NA	1559000
1	9	1	8900
1	9	2	13900
1	9	3	3500
1	9	4	14200
1	9	5	8900
1	9	6	6400
1	9	7	28000
1	9	8	7700
1	9	9	3000
1	9	59	726800
1	9	NA	1556400
1	10	1	16800
1	10	2	8900
1	10	3	13900
1	10	4	3400
1	10	5	14000
1	10	6	8700
1	10	7	6400
1	10	8	27400
1	10	9	7600
1	10	10	3000
1	10	60	716800
1	10	NA	1550800
1	11	1	10800
1	11	2	16600
1	11	3	8800
1	11	4	13600
1	11	5	3300
1	11	6	13800
1	11	7	8600
1	11	8	6300
1	11	9	27200
1	11	10	7600
1	11	11	3000
1	11	61	711200
1	11	NA	1546900
1	12	1	2000
1	12	2	10600
1	12	3	16600
1	12	4	8800
1	12	5	13600
1	12	6	3300
1	12	7	13800
1	12	8	8600
1	12	9	6300
1	12	10	27100
1	12	11	7600
1	12	12	3000
1	12	62	709900
1	12	NA	1546500
1	13	1	5900
1	13	2	2000
1	13	3	10600
1	13	4	16500
1	13	5	8800
1	13	6	13600
1	13	7	3200
1	13	8	13700
1	13	9	8600
1	13	10	6300
1	13	11	26800
1	13	12	7600
1	13	13	3000
1	13	63	706800
1	13	NA	1544300
1	14	1	4300
1	14	2	5900
1	14	3	2000
1	14	4	10600
1	14	5	16500
1	14	6	8700
1	14	7	13500
1	14	8	3200
1	14	9	13700
1	14	10	8600
1	14	11	6300
1	14	12	26500
1	14	13	7600
1	14	14	3000
1	14	64	704600
1	14	NA	1542700
1	15	1	5500
1	15	2	4300
1	15	3	5800
1	15	4	2000
1	15	5	10600
1	15	6	16500
1	15	7	8600
1	15	8	13500
1	15	9	3200
1	15	10	13700
1	15	11	8400
1	15	12	6200
1	15	13	26500
1	15	14	7600
1	15	15	3000
1	15	65	701700
1	15	NA	1540600
1	16	1	3100
1	16	2	5500
1	16	3	4300
1	16	4	5800
1	16	5	2000
1	16	6	10600
1	16	7	16500
1	16	8	8600
1	16	9	13400
1	16	10	3200
1	16	11	13600
1	16	12	8400
1	16	13	6200
1	16	14	26500
1	16	15	7600
1	16	16	3000
1	16	66	7e+05
1	16	NA	1539400
1	17	1	1700
1	17	2	3100
1	17	3	5500
1	17	4	4300
1	17	5	5800
1	17	6	2000
1	17	7	10600
1	17	8	16400
1	17	9	8600
1	17	10	13400
1	17	11	3200
1	17	12	13600
1	17	13	8400
1	17	14	6200
1	17	15	26500
1	17	16	7600
1	17	17	3000
1	17	67	699100
1	17	NA	1538700
1	18	1	5900
1	18	2	1700
1	18	3	3100
1	18	4	5500
1	18	5	4300
1	18	6	5700
1	18	7	2000
1	18	8	10500
1	18	9	16300
1	18	10	8300
1	18	11	13400
1	18	12	3200
1	18	13	13600
1	18	14	8300
1	18	15	6200
1	18	16	26500
1	18	17	7600
1	18	18	3000
1	18	68	696400
1	18	NA	1536200
1	19	1	1800
1	19	2	5900
1	19	3	1700
1	19	4	3100
1	19	5	5500
1	19	6	4300
1	19	7	5700
1	19	8	2000
1	19	9	10500
1	19	10	16300
1	19	11	8300
1	19	12	13300
1	19	13	3200
1	19	14	13600
1	19	15	8300
1	19	16	6200
1	19	17	26500
1	19	18	7600
1	19	19	3000
1	19	69	695700
1	19	NA	1535200
1	20	1	11500
1	20	2	1800
1	20	3	5900
1	20	4	1700
1	20	5	3100
1	20	6	5400
1	20	7	4300
1	20	8	5700
1	20	9	1900
1	20	10	10200
1	20	11	15700
1	20	12	8300
1	20	13	13100
1	20	14	3200
1	20	15	13600
1	20	16	8000
1	20	17	6100
1	20	18	26400
1	20	19	7500
1	20	20	3000
1	20	70	689400
1	20	NA	1531900
2	0	50	787400
2	0	NA	1590300
2	1	1	900
2	1	51	786700
2	1	NA	1590100
2	2	1	12800
2	2	2	900
2	2	52	778900
2	2	NA	1585100
2	3	1	10800
2	3	2	12500
2	3	3	800
2	3	53	772900
2	3	NA	1580700
2	4	1	25500
2	4	2	10500
2	4	3	12200
2	4	4	800
2	4	54	759000
2	4	NA	1569700
2	5	1	7500
2	5	2	25500
2	5	3	10500
2	5	4	12000
2	5	5	800
2	5	55	753900
2	5	NA	1567500
2	6	1	4800
2	6	2	7500
2	6	3	25500
2	6	4	10500
2	6	5	12000
2	6	6	800
2	6	56	751000
2	6	NA	1565600
2	7	1	18400
2	7	2	4800
2	7	3	7400
2	7	4	25400
2	7	5	10100
2	7	6	11800
2	7	7	800
2	7	57	739800
2	7	NA	1559200
2	8	1	32400
2	8	2	18200
2	8	3	4600
2	8	4	7200
2	8	5	24700
2	8	6	9300
2	8	7	11500
2	8	8	800
2	8	58	718600
2	8	NA	1550400
2	9	1	6100
2	9	2	32200
2	9	3	18200
2	9	4	4600
2	9	5	7200
2	9	6	24700
2	9	7	9200
2	9	8	11400
2	9	9	800
2	9	59	715400
2	9	NA	1547900
2	10	1	2600
2	10	2	6100
2	10	3	32100
2	10	4	18200
2	10	5	4600
2	10	6	7200
2	10	7	24600
2	10	8	9100
2	10	9	11400
2	10	10	800
2	10	60	714000
2	10	NA	1547000
2	11	1	3100
2	11	2	2600
2	11	3	6100
2	11	4	32000
2	11	5	18200
2	11	6	4600
2	11	7	7200
2	11	8	24600
2	11	9	9100
2	11	10	11300
