run	year	tschg	area
1	1	51	536600
1	1	NA	516200
1	2	2	2500
1	2	52	528400
1	2	NA	513900
1	3	2	10400
1	3	3	2500
1	3	53	503200
1	3	NA	503200
1	4	2	36100
1	4	3	10400
1	4	4	2500
1	4	54	499700
1	4	NA	502000
1	5	2	4700
1	5	3	35800
1	5	4	10300
1	5	5	2500
1	5	55	494000
1	5	NA	499900
1	6	2	8200
1	6	3	4600
1	6	4	35700
1	6	5	10200
1	6	6	2500
1	6	56	481100
1	6	NA	496500
1	7	2	16600
1	7	3	8200
1	7	4	4600
1	7	5	35500
1	7	6	10100
1	7	7	2400
1	7	57	478400
1	7	NA	495400
1	8	2	3900
1	8	3	16200
1	8	4	8000
1	8	5	4600
1	8	6	34700
1	8	7	10100
1	8	8	2400
1	8	58	462700
1	8	NA	489700
1	9	2	22700
1	9	3	3800
1	9	4	16200
1	9	5	7800
1	9	6	4600
1	9	7	34700
1	9	8	9900
1	9	9	2400
1	9	59	454400
1	9	NA	484900
1	10	2	13900
1	10	3	22500
1	10	4	3800
1	10	5	16100
1	10	6	7600
1	10	7	4600
1	10	8	34400
1	10	9	9600
1	10	10	2400
1	10	60	440400
1	10	NA	478800
1	11	2	21300
1	11	3	13800
1	11	4	22100
1	11	5	3800
1	11	6	15900
1	11	7	7500
1	11	8	4600
1	11	9	33700
1	11	10	9500
1	11	11	2400
1	11	61	430900
1	11	NA	477100
1	12	2	12700
1	12	3	21200
1	12	4	13800
1	12	5	22100
1	12	6	3800
1	12	7	15900
1	12	8	7400
1	12	9	4600
1	12	10	33700
1	12	11	9400
1	12	12	2400
1	12	62	429200
1	12	NA	476500
1	13	2	2700
1	13	3	12700
1	13	4	21200
1	13	5	13800
1	13	6	21900
1	13	7	3800
1	13	8	15900
1	13	9	7400
1	13	10	4600
1	13	11	33100
1	13	12	9400
1	13	13	2400
1	13	63	425800
1	13	NA	475200
1	14	2	5400
1	14	3	2700
1	14	4	12700
1	14	5	21200
1	14	6	13800
1	14	7	21900
1	14	8	3800
1	14	9	15900
1	14	10	7400
1	14	11	4600
1	14	12	32800
1	14	13	9400
1	14	14	2400
1	14	64	424200
1	14	NA	474300
1	15	2	2900
1	15	3	5400
1	15	4	2600
1	15	5	12700
1	15	6	20700
1	15	7	13600
1	15	8	21800
1	15	9	3800
1	15	10	15700
1	15	11	7300
1	15	12	4500
1	15	13	32500
1	15	14	9400
1	15	15	2300
1	15	65	417200
1	15	NA	469500
1	16	2	13500
1	16	3	2900
1	16	4	5400
1	16	5	2600
1	16	6	12700
1	16	7	20700
1	16	8	13600
1	16	9	21700
1	16	10	3800
1	16	11	15700
1	16	12	7300
1	16	13	4500
1	16	14	32400
1	16	15	9400
1	16	16	2300
1	16	66	416600
1	16	NA	469300
1	17	2	1000
1	17	3	13300
1	17	4	2900
1	17	5	5400
1	17	6	2600
1	17	7	12700
1	17	8	20700
1	17	9	13600
1	17	10	21700
1	17	11	3800
1	17	12	15700
1	17	13	7300
1	17	14	4500
1	17	15	32400
1	17	16	9400
1	17	17	2300
1	17	67	413900
1	17	NA	467800
1	18	2	4400
1	18	3	1000
1	18	4	13200
1	18	5	2800
1	18	6	5300
1	18	7	2600
1	18	8	12500
1	18	9	20700
1	18	10	12700
1	18	11	21500
1	18	12	3700
1	18	13	15000
1	18	14	7100
1	18	15	4300
1	18	16	32100
1	18	17	9400
1	18	18	2300
1	18	68	409000
1	18	NA	465000
1	19	2	10800
1	19	3	4400
1	19	4	1000
1	19	5	13200
